validation_season,mae,rmse,r2
2019,6499380.155257779,10644966.862672526,0.7204202820047496
2020,6160322.137850418,9695053.138371984,0.7363120953517043
2021,6306673.018435661,9577921.887749827,0.7260561821898434
2022,7402468.784520997,12042269.868024236,0.6457946971684045
2023,7234247.108893116,11617148.333870945,0.7349467601806441
