feature,importance
team_relegated,1.5108814944040598e-05
is_recent_50m_player,1.1477833799245335e-05
u23_defender,1.0741688436545685e-05
red_cards,8.99135278473767e-06
sub_position_Right-Back,8.553252410547019e-06
u23_winger,7.108223800499839e-06
sub_position_Left-Back,6.9732655352127796e-06
u23_attacking_midfield,6.281100121626396e-06
is_u23,5.293126130512794e-06
clubs_played_for,3.7301842279653393e-06
previous_value_band_€0–2m,3.37085583923068e-06
older_player_output_spike,3.2839610087527826e-06
u23_centre_forward,3.0386906685495976e-06
foot_both,3.0165862679378975e-06
team_won_league,2.780937025791004e-06
sub_position_Right Winger,2.737975269051162e-06
low_current_minutes_after_high_recent_minutes,1.8441965174146258e-06
recent_peak_value_band_€2–5m,1.3395268769893954e-06
u23_defensive_midfield,1.2847559614862632e-06
sub_position_Goalkeeper,8.778403996177374e-07
u23_fullback,8.02319895249603e-07
position_Goalkeeper,7.906204816880898e-07
u23_centre_back,5.086309086035958e-07
is_u21,2.0252599520610716e-07
recent_peak_value_band_€0–2m,6.482404648206852e-09
sub_position_Right Midfield,0.0
u21_title_team_minutes,0.0
is_u23_recent_40m_player,0.0
sub_position_Left Midfield,0.0
is_u21_recent_20m_player,0.0
recent_peak_value_band_€100m+,0.0
is_teen_regular,0.0
sub_position_Second Striker,0.0
is_u21_regular,0.0
is_u23_high_minutes,0.0
foot_Unknown,0.0
