validation_season,mae,rmse,r2
2019,6196735.575749882,9621879.975627817,0.7715785389170973
2020,5088584.45118212,7783857.684511745,0.8300271347118374
2021,4758943.594191474,7809481.108624417,0.8178776357075586
2022,6423283.2455880195,10977844.828975718,0.7056442504214484
2023,5573327.323488969,9128028.640484067,0.8363605406888247
