validation_season,mae,rmse,r2
2019,6156891.402301018,9734987.124223147,0.766176693435177
2020,6039406.203247443,9114138.140274812,0.7669650634965514
2021,5876955.137879287,8981320.920777224,0.7591207712014797
2022,7271600.967026141,11794521.177468663,0.6602190887871117
2023,7027439.1335897865,11092227.613793934,0.7583584608943192
