validation_season,mae,rmse,r2
2019,6523241.293214975,10622641.436227039,0.7215917635490814
2020,6179622.984004298,9717317.177767083,0.7350996215851087
2021,6259569.809164673,9531570.033366252,0.7287012400469146
2022,7449270.489480444,12138623.927600052,0.6401038003135572
2023,7311260.730897225,11718849.142991904,0.7302856987689617
