model,split,mae,rmse,r2
output_profile_v1,walk_forward_cv,6720618.240991595,10715472.018137906,0.7127060033790692
output_profile_v1,2024_test,6804535.48434567,11940929.306466509,0.7095552843381542
memory_potential_v2,walk_forward_cv,6474458.568808734,10143438.995307555,0.7421680155629279
memory_potential_v2,2024_test,6715049.966306072,11970555.750941837,0.7081122611546529
market_context_v3,walk_forward_cv,5601093.57009736,9069983.204065947,0.7920586234208736
market_context_v3,2024_test,5979473.064731099,10091420.103449982,0.792560337494115
youth_context_v4,walk_forward_cv,5608174.838040093,9064218.447644752,0.7922976200893532
youth_context_v4,2024_test,5922521.578805987,10022333.351214591,0.795390915477676
