feature,importance
recent_2yr_avg_value_m,0.4493365684730502
age_adjusted_goal_involvements,0.14582658785329683
previous_value_band_€20–40m,0.06152799239201521
minutes_in_top_4_team,0.05006485151840005
age_at_season_end,0.03522259978795157
age_adjusted_minutes,0.02195579735060413
age_distance_squared,0.012964572918780622
previous_value_band_€100m+,0.012554535772768272
pl_accurate_pass,0.011200055399416542
team_points,0.008388848483733436
gi_drop_from_recent_avg,0.007315773506070497
team_previous_points,0.007242560127362865
previous_europe_minutes,0.007122122142497528
value_change_last_year_m,0.007025375085314781
previous_value_band_€10–20m,0.006324558389386633
team_goals_for,0.006008500118832928
team_goal_difference,0.005950774772944287
previous_all_minutes,0.005875472456892636
team_win_rate,0.00472996178301241
pl_pass_completion_rate,0.004615544809744683
u23_minutes,0.004310610735794809
previous_all_goals,0.004258246974894994
team_final_position,0.004058299539355476
pl_touches,0.0036684959973320485
minutes_drop_from_recent_avg,0.0035430962544051106
team_previous_final_position,0.0034628540849056116
previous_weighted_goals,0.0034337286692827443
pl_total_pass,0.003298574652989744
recent_3yr_max_value_m,0.0031217353451651066
pl_total_scoring_att,0.003088136733547098
pl_accurate_pass_per_90,0.0029384163151655028
recent_3yr_min_value_m,0.002853137652284653
pl_ontarget_scoring_att_per_90,0.002753769044992298
pl_total_scoring_att_per_90,0.002743731150937922
pl_poss_lost_all,0.002737303179046483
current_minutes_vs_recent_3yr_avg,0.0026866562483185774
previous_value_band_€70–100m,0.002499906727141416
previous_weighted_minutes,0.0023765340374265727
pl_duel_won,0.002260734813359031
team_goals_against,0.0021920386305767188
pl_duel_win_rate,0.0020043012024112405
goals,0.001965319146557728
previous_weighted_assists,0.0019272091875649766
appearances,0.001923735065574643
pl_tackle_success_rate,0.0019060126896228576
pl_touches_per_90,0.0017926897821718528
pl_ontarget_scoring_att,0.0017187234421564854
pl_duel_won_per_90,0.0016785481223916853
previous_domestic_league_minutes,0.0015195684630646732
team_points_change,0.0014687824095312749
previous_domestic_league_goals,0.0014317195737284733
pl_big_chance_missed_per_90,0.0013652172690058393
pl_total_clearance_per_90,0.0013217326170491166
pl_total_pass_per_90,0.001269388780422303
pl_cross_completion_rate,0.0012569806304175547
pl_poss_lost_all_per_90,0.0012530358489515668
pl_outfielder_block_per_90,0.0012363367710046401
previous_domestic_league_assists,0.001225316032805575
pl_aerial_lost_per_90,0.0012033541052263634
recent_3yr_avg_value_m,0.001189345687276371
pl_interception_per_90,0.0011888976319240274
pl_aerial_win_rate,0.0010961364596795264
pl_big_chance_created_per_90,0.0010955427976093177
current_gi_vs_recent_3yr_avg,0.001095240340555202
previous_value_band_€40–70m,0.0010755997564973767
pl_total_tackle_per_90,0.0010752301589072684
pl_duel_lost,0.0010721364900187485
pl_won_tackle_per_90,0.0010566102986484193
height_in_cm,0.001055355145514782
pl_aerial_lost,0.0010109239763544573
pl_aerial_won_per_90,0.0010105266808807596
pl_duel_lost_per_90,0.0010035823858374887
previous_europe_goals,0.0009793899606421875
previous_all_assists,0.0008706963751074174
pl_total_cross_per_90,0.0008339806089866948
recent_value_range_m,0.00081585076937842
has_recent_value_rise,0.0007254931664096724
pl_aerial_won,0.0007233801123068018
pl_total_clearance,0.0007060236953747114
yellow_cards,0.0006950062487780525
pl_total_tackle,0.0006933371211995007
recent_3yr_minutes,0.000684838222466157
player_minutes_share,0.0006772008405624492
pl_interception,0.0006671144275193298
pl_won_tackle,0.0006264630773274638
