validation_season,mae,rmse,r2
2019,6183708.3593793465,9557191.180040259,0.7746396118029223
2020,5103334.449628176,7818930.668101832,0.8284919354563489
2021,4734442.269273648,7818933.011850228,0.8174365194143457
2022,6455418.527499661,11007128.933463026,0.7040717301702075
2023,5528564.244705969,9147732.226874387,0.8356533202605442
