feature,importance
sub_position_Right-Back,3.511107890381164e-05
position_Goalkeeper,3.257947706895493e-05
is_u23_recent_40m_player,2.0895512337420978e-05
u23_centre_forward,1.8839385834606578e-05
team_won_league,1.6147923131980965e-05
has_recent_value_drop,1.5146074629751386e-05
clubs_played_for,1.1969615626442268e-05
previous_value_band_€5–10m,8.187553923255525e-06
red_cards,3.992764768805301e-06
recent_peak_value_band_€5–10m,1.5952714391887031e-06
is_recent_80m_player,2.6221303058959385e-07
is_30_plus,0.0
recent_peak_value_band_€2–5m,0.0
recent_peak_value_band_€100m+,0.0
recent_peak_value_band_€0–2m,0.0
is_32_plus,0.0
previous_value_band_€2–5m,0.0
u21_title_team_minutes,0.0
previous_value_band_€100m+,0.0
previous_value_band_€0–2m,0.0
low_current_minutes_after_high_recent_minutes,0.0
foot_both,0.0
foot_Unknown,0.0
sub_position_Second Striker,0.0
sub_position_Right Midfield,0.0
sub_position_Left Midfield,0.0
u23_title_team_minutes,0.0
older_player_output_spike,0.0
is_u21_recent_20m_player,0.0
u23_minutes_share_title_team,0.0
sub_position_Goalkeeper,0.0
