validation_season,rows,positive_rate,roc_auc,average_precision,precision_at_10,precision_at_20
2019,186,0.1827956989247312,0.903250773993808,0.776020112936645,1.0,0.8
2020,193,0.17616580310880828,0.9287828338882723,0.8344947116990142,1.0,0.9
2021,198,0.20202020202020202,0.8569620253164557,0.7354374612567315,1.0,0.8
2022,228,0.23684210526315788,0.8936781609195402,0.7656256162683541,1.0,0.9
2023,229,0.2794759825327511,0.9063446969696969,0.8167460644216313,1.0,0.95
