position,players,actual_mean,predicted_mean,mae,mean_residual
Attack,118,25.731779661016947,26.334738102227174,5845528.815224929,-602958.441210225
Midfield,130,25.870192307692307,25.45993954405135,5585711.558592647,410252.76364095975
Defender,164,19.245731707317074,19.147244104955796,3756436.2682997077,98487.60236127574
Goalkeeper,38,11.325000000000001,11.592252632961632,2220644.5377309914,-267252.6329616306
