minutes_band,players,actual_mean,predicted_mean,mae,mean_residual
Under 450,114,9.913377192982455,8.81978277931238,3184481.257348869,1093594.4136700756
450–899,61,15.730327868852457,13.679037118619105,4713453.254668893,2051290.7502333545
900–1799,101,21.702475247524752,21.787174972574643,4391869.142795792,-84699.72504989173
1800+,174,32.78448275862069,34.23887182038712,5874854.298583717,-1454389.0617664296
