value_band,players,actual_mean,predicted_mean,mae,mean_residual
€0–5m,90,2.473611111111111,2.520174884621803,723404.0617141194,-46563.77351069186
€5–15m,130,10.211538461538462,10.608533672818233,2708652.3161020763,-396995.21127977147
€15–30m,125,23.04,24.080218918709402,4544222.459598836,-1040218.9187094019
€30–60m,82,42.146341463414636,41.51144770984055,10207999.926825639,634893.7535740852
€60m+,23,91.30434782608695,86.00233373594965,12784346.745713823,5302014.090137316
