age_band,players,actual_mean,predicted_mean,mae,mean_residual
"[16, 20)",15,16.98,10.407132195005165,8196385.657923939,6572867.804994837
"[20, 23)",71,23.569366197183097,22.846339395366968,7148800.468128204,723026.8018161309
"[23, 26)",112,32.098214285714285,31.15567550053203,4761259.75229866,942538.7851822544
"[26, 29)",127,25.75511811023622,26.526515996701356,5276330.107883887,-771397.8864651382
"[29, 32)",61,13.121311475409836,15.70242003110727,3266357.9701931477,-2581108.555697435
"[32, 36)",56,6.8875,7.101350296403369,1453963.962575938,-213850.29640336873
"[36, 50)",8,0.75,0.7401704902312647,227436.3872269708,9829.509768735305
